按键,所在界面,当前作用
鼠标左键,湖边、手持鱼竿,抛竿：点哪落哪，无蓄力；超射程或有遮挡提示「够不到那边」
鼠标左键,鱼儿咬钩,提竿
按住鼠标左键,遛鱼状态,收线
鼠标左键,查看鱼护,从鱼护取鱼
鼠标左键,鱼缸旁,从鱼缸取鱼
按住鼠标右键,遛鱼状态,放线
W,遛鱼状态,前移靠水（钓鱼中不切相机反转）
S,遛鱼状态,后退离水（钓鱼中不切相机反转）
长按收竿键 1.5 秒,遛鱼状态,放弃（松手取消）
F,遛鱼状态,抄鱼：抄手朝向射线碰到鱼的可捞圆即可抄（09-07 裁定 F，Space 不用）
E,遛鱼状态,换人：主钓手按 E 发起请求、再按 E 取消；替补按 E 接手（与「使用键」可能撞键，定使用键时一并核）
B,游戏主界面及钓鱼界面,打开背包
使用键（待定）,背包装备栏选中道具,使用选中道具：鱼竿＝朝对应位置抛漂（如可行）、鱼护＝在脚下放下鱼护容器（09-09 晚方向，键位待定）
E,靠近鱼护,查看鱼护
F,靠近放下的鱼护,拾起鱼护：变回道具、鱼随护走
长按 E,嘴里叼着鱼,吃掉鱼
E,靠近营地鱼缸,将鱼护中的鱼放入鱼缸
E,鱼缸交互完成后,将取出的鱼放入鱼护
E,商人对话,确认选择
F,鱼落地,拾取鱼
F,嘴里叼着鱼,放下鱼
F,圣猫祭坛,献祭
Space,新鱼种解锁,继续、关闭解锁界面
T,湖边鱼窝,查询当前鱼窝
Enter,选择存档,载入游戏
Enter,退出游戏弹窗,确认退出
Enter,设置页面,应用设置
Enter,鱼缸放鱼选择,全部放入、确认当前选择
Esc,游戏中,打开或关闭派对菜单（图鉴入口之一，见图鉴册）
Esc,选择存档,返回主菜单
Esc,退出游戏弹窗,取消退出
Esc,设置页面,返回上一页或派对菜单
Esc,鱼缸放鱼界面,取消
Esc,商人对话,离开对话
N,选择存档,新建存档
R,所有设置页面,恢复默认设置
Tab,鱼缸放鱼选择,进入“选择放入”
Shift + Tab,Steam房间、组队管理,打开Steam界面
（修订）,2026-09-10,Claude 按钓鱼规则与 09-09 裁决对表：抄鱼 Space 改 F，补 W／S、E 换人、长按放弃、使用键与鱼护两态；删「E 放置鱼竿」「T 追踪鱼类」两条无定义动作（张佳核）
