场景,提示或表现,出处
抛竿,左键点水面，猫甩竿,钓鱼规则 7.1
鱼向岸休息,状态文字变绿「鱼累了！按住左键拖回来！」；猫耳朵竖起、尾巴甩动,钓鱼规则 7.1
鱼向外发力,状态文字变红「鱼在发力！放线喘口气，拖线就是硬拼！」,钓鱼规则 7.1
鱼可抄,屏幕中央爪印图标＋「快抄！（按 F）」，以收鱼资格判定为准,钓鱼规则 7.1
猫体力偏低,体力条变红闪烁＋「猫喘气了！」与喘气表现,钓鱼规则 7.1
落水危险,爪扒地划痕＋「要滑下去了！」，不承诺未实现的拽尾巴救援,钓鱼规则 7.1
完美,金色水花＋瞳孔放大＋清脆一声「叮」＋「完美！」,钓鱼规则 7.1
断竿,咔嚓声、爪里只剩半截竿、猫愣住,钓鱼规则 7.1
鱼逃,耳朵耷拉、水面恢复平静,钓鱼规则 7.1
挥空,猫拍空或被绊、沙漏图标＋「爪子麻了！」,钓鱼规则 7.1
主动放弃,「放生了鱼…鱼饵和浮漂被带走了」,钓鱼规则 7.1
碾压,鱼落身后草地、猫翘尾巴，仍需拾取,钓鱼规则 7.1
够不到,「够不到那边」：超射程或有遮挡时抛竿被拒,钓鱼规则 v1.7 §3
没够着,「没够着」：抢抄被拒的四种几何原因统一提示,钓鱼规则 v1.6 §5.5
