名字,特点,吃鱼效果,供奉进度,出现地点,重量,力量系数K,体力,图鉴描述,,,
河纹鱼,身体上有像流水一样的纹路，游动时鳞片会随着水流反光。,恢复基础饥饿值。,1,河流,,,,“喜欢逆着水流游动的小鱼，据说它们一生都在寻找最平静的水面。”,,,
青叶鱼,鳞片呈淡绿色，经常停留在漂浮的树叶下面。,恢复饥饿值。,1,森林湖。,,,,“它们很擅长隐藏自己，有时候连靠近湖边的小猫都会误以为那是一片叶子。”,,,
小银鱼,体型小，总是成群出现。,少量恢复饥饿，多人一起食用时，获得轻微速度加成。,1,河流、森林湖。,,,,“一条小银鱼并不起眼，但当它们聚在一起时，整个湖面都会闪闪发光。”,,,
太阳鲫,喜欢在阳光照射到的水面活动，鳞片会反射出金黄色光泽。,恢复基础饥饿值，短时间减少钓鱼体力消耗速度。,1,森林湖。,,,,“它们喜欢晒太阳，偶尔会把肚皮朝上漂在水面，让经过的小猫误以为它们睡着了。”,,,
泡泡鱼,"会连续吐出一串小气泡。
 尾巴摆动更频繁
 更容易触发猫咪开心动作",恢复少量饥饿值，食用后猫咪会获得短暂中毒吐泡泡。,1,森林湖。,,,,“它们总是很紧张，所以每天都要练习吐很多泡泡来安慰自己。”,,,
石斑小鱼,身体颜色接近河边石头，经常躲在石缝中。,恢复中等饥饿值，有几率晕倒/增加饥饿下降速度。,1,河流。,,,,“如果它们不动，连最细心的小猫也很难发现它们藏在哪里。”,,,
长须鱼,嘴边长着细长触须，行动缓慢，经常安静地待在湖底。,恢复较多饥饿值。,1,森林湖。,,,,“它们一点也不着急，好像觉得整个湖的一天时间都属于自己。”,,,
红叶鱼,鳞片颜色接近森林里的红色叶片。,恢复饥饿值。,2,森林湖。,,,,“它们像把森林的一片秋天藏在了自己的身上。”,,,
泥鳞鱼,喜欢在泥沙中活动，身上的鳞片颜色比较暗。,恢复较多饥饿值。,1,河流。,,,,“它们不喜欢干净明亮的水，反而觉得泥巴里才是最舒服的家。”,,,
小彩鱼,身体有多种颜色，非常容易吸引小猫注意。,恢复少量饥饿。,3,森林湖。,,,,“很多小猫第一次来到湖边时，都是因为看见了它们停下脚步。”,,,
巨鳞鲤,"体型巨大，背部有厚重鳞片，游动时会产生明显水流。
 钓到时表现：
 湖面出现大范围波纹
 猫咪被拉向水边
 鱼竿产生巨大压力",恢复大量饥饿值，增加较长时间饱腹效果。,2,森林湖。,,,,“湖里的老人说，看见巨鳞鲤跳出水面的那一天，说明湖水依然充满生命。”,,,
森林长尾鱼,"尾鳍非常长，游动时像一条彩色丝带划过湖面。
 表现：
 更容易触发开心动作
 尾巴摆动增加",恢复大量状态。,2,森林湖。,,,,“它们很少靠近岸边，所以很多小猫一生只会见到它一次。”,,,
黑岩鲶,身体颜色接近河底岩石，力量非常强。,生吃：恢复饥饿有中毒风险熟食：高恢复 增加短时间体力。,2,河流。,,,,“它们安静地生活在河底，只有钓鱼的小猫才能发现它们真正的力量。”,,,
银月鳟,"鳞片会反射特殊光芒。
 只在特殊湖泊活动时出现。",恢复大量饥饿值。,3,森林湖。,,,,“它们不会追逐光芒，而是让光芒追随自己。”,,,
古木鱼,"年龄极大，背部有类似树纹的纹路。
 钓起时：
 水面震动
 周围动物聚集
 触发多人围观",不推荐食用。食用：触发特殊森林记忆。解锁：森林过去片段圣猫故事,5,森林湖。,,,,“有人说它比森林里的很多树还要年长，只是选择了在水里继续守护这里。”,,,
湖心巨影（多人事件鱼）,"没人确定它是什么。
 第一次出现时：
 湖面会出现巨大阴影。",特殊。建议食用。解锁：“共同捕获记录”。,10,河流，森林湖。,,,,“它不是属于某一只小猫的鱼，而是属于整个湖畔森林的一段回忆。”,,,
雨鳞鱼,鳞片表面会吸附雨水，形成特殊光泽。,恢复饥饿值。,2,河流，森林湖。,,,,“只有下雨的时候才会露出真正的颜色，晴天时它们总是藏在湖底。”“越大的雨鳞鱼，越喜欢在雨最大的时候跃出水面。”,,,
雾隐鱼,身体颜色接近雾气，靠近时会突然消失。,降低体力值消耗，可以变透明。,2,河流，森林湖。,,,,“雾隐鱼不会迷路，因为它们一直记得回家的方向。”,,,
