名字,特点,吃鱼效果,出现地点,重量/KG,力量系数K（KG*K=力量）,体力系数（KG×系数=初始体力；2026-09-08 改口径，占位＝原定额÷重量中点，正式值走模拟）,图鉴描述,需求窝料属性,限时Buff,持续时间,经验系数（KG×系数=经验),偏好饵,稀有度,食性（食肉／杂食／素食）——决定这条鱼往外冲的基础倾向，口径见「鱼的行为」§2。参照：黑鱼与河口鲈＝食肉，森林长尾鱼与银月鳟＝素食或杂食,发力段长（秒；快照 3~6，出处「鱼的行为」§2，正式值待模拟，勿手改）,休息段长（秒；快照 2~5，同上）,游速系数（按体重档 小 0.8／中 1.0／大 1.2／巨影 1.5；快照，同上）,鱼刚咬饵时，鱼漂的变化,鱼刚咬饵时，水面的变化,与猫搏斗时，鱼的动作变化,与猫搏斗时，水面的变化,fish_id（工程 FishDefinitionId；2026-09-09 加，程序按此列对鱼、不按名字）
河纹鱼,身体上有像流水一样的纹路，游动时鳞片会随着水流反光。,增长经验。,河流,0.4~3,6,18,“喜欢逆着水流游动的小鱼，据说它们一生都在寻找最平静的水面。”,酵,无,无,8,虫虫饵,普通,杂食,3~6,2~5,1,鱼漂先轻轻向水流方向倾斜，连续小幅点动两次。真咬时鱼漂平稳下沉,鱼漂周围出现顺着水流拉长的椭圆波纹，没有明显水花,河纹鱼主要顺着水流平稳游动。发力时持续向外或斜向横游，体力下降后减慢速度，身体随水流轻轻摆动。再次发力前会先转头调整方向,发力时形成一条顺着水流延伸的平滑尾流。横游时出现弧形波纹，休息时尾流逐渐消散，只留下宽缓水波,Fish_RiverPattern
小银鱼,体型小，总是成群出现。,增长少量经验。,河流、森林湖。,0.05~0.4,4,67,“一条小银鱼并不起眼，但当它们聚在一起时，整个湖面都会闪闪发光。”,酵,移动速度提升 15%,60秒,10,虫虫饵,少见,杂食,3~6,2~5,0.8,鱼漂连续出现三至五次细小而快速的抖动，中间几乎没有停顿。真咬时鱼漂突然向下一点，迅速没入水中,水面同时出现多个细小圆形波纹，水下偶尔闪过成群的银色反光,小银鱼体型很小，发力时间短，移动距离不长，但会频繁改变方向。它常在鱼钩附近快速左右摆动，偶尔突然向下钻一下,水面出现密集、细碎的交叉波纹。换向时只有很小的水花，水下会连续闪过细小银光,Fish_LittleSilver
小彩鱼,身体有多种颜色，非常容易吸引小猫注意。,恢复少量经验。吃了增加一定黄色体力（一次性）,河流 森林湖。,0.04~0.4,5,114,“很多小猫第一次来到湖边时，都是因为看见了它们停下脚步。”,香,黄色体力 +20（一次性护盾）,无,10,果实饵,少见,素食,3~6,2~5,0.8,鱼漂先向左轻点，再向右轻点，随后在原位快速颤动。真咬时鱼漂斜着沉入水中,水面出现零碎的小圆波，水下彩色鱼影迅速聚拢又散开,小彩鱼容易受到惊吓。搏斗时会在小范围内突然转向，向左、向右或向下短促冲刺。每次冲刺持续时间较短,水面留下短小、方向杂乱的交叉波纹。每次突然转向都会产生一个小水花，鱼鳞反光会随鱼影快速移动,Fish_LittleColor
森林长尾鱼,"尾鳍非常长，游动时像一条彩色丝带划过湖面。
 表现：
 更容易触发开心动作
 尾巴摆动增加",增长大量经验。,河流，森林湖。,3~8,10,16,“它们很少靠近岸边，所以很多小猫一生只会见到它一次。”,香,移动速度增加25%,120秒,15,花蜜饵,珍稀,素食,3~6,2~5,1,鱼漂先被缓慢拖向一侧，漂身逐渐倾斜。真咬时鱼漂突然横向移动一段距离，再被拉入水中,水面出现一道较长的弧形波纹，鱼尾扫过的位置产生较宽水花,森林长尾鱼依靠长尾进行大幅横向游动。发力时会从一侧连续游向另一侧，再突然向外冲刺。体力下降后长尾摆动频率降低，身体开始缓慢侧游,水面形成宽大的弧形尾流。长尾改变方向时会横向扫开一片水花，向外冲刺时留下较长的 V 字水纹,Fish_ForestLongtail
银月鳟,"鳞片会反射特殊光芒。
 只在特殊湖泊活动时出现。",增长大量经验。,河流，森林湖。,3~8,10.5,18,“它们不会追逐光芒，而是让光芒追随自己。”,腥,减少25%体力消耗,120秒,15,月光饵,珍稀,杂食,3~6,2~5,1,鱼漂缓慢下沉，先只剩漂尖露在水面。短暂停顿后，鱼漂向斜前方平稳滑走并完全没入水中,水面先出现宽缓的圆形波纹，鱼影经过时产生连续的银白色反光,银月鳟游动沉稳，发力持续时间较长。它会保持一个方向持续外游，随后缓慢转向横切。进入休息时身体下降到较深位置，摆尾幅度减小；再次发力前会先抬头转向,发力时形成宽而平滑的长尾流，水下带有银白反光。横切时水面出现大弧形波纹，休息时只留下缓慢扩散的圆波,Fish_SilvermoonTrout
湖心巨影（多人事件鱼）,"没有喵确定它是什么。
 第一次出现时：
 湖面会出现巨大阴影。真实名称欧鳇，谐音欧皇",无法食用。解锁：“共同捕获记录”。,河流，森林湖。,15~40,5,9.5,“它不是属于某一只小猫的鱼，而是属于整个湖畔的一段回忆。”,腥,无法食用，但是献祭后所有小猫获得猫神的祝福，获得 50 点额外体力，减少 50% 体力消耗，落水时金光挡水花（纯演出）,600秒,0,肉块饵,事件,食肉,3~6,2~5,1.5,鱼漂周围先突然安静，漂体随后被持续向下压。鱼漂完全消失,水面先大范围隆起并冒出连续大气泡，随后爆开大片水花,湖心巨影每次发力都会带动整个身体向远处冲刺。它可以长时间向外游，也会突然下潜或进行大范围横切。体力下降后巨影会缓慢浮高，身体摆动变弱；再次发力时会突然甩尾转向,冲刺时产生远距离可见的宽大 V 字尾流。下潜时水面形成大范围同心圆和气泡；横切和掉头时整片水面偏移，并连续爆开大片水花,Fish_LakeGiantShadow
花瓣鱼,鳞片边缘像花瓣一样柔软，游过的地方会留下细小光点。,增长经验，头上会长小花。,河流，森林湖。,0.05~0.4,4.5,89,“当森林重新开花时，第一批回来迎接春天的，就是这些小鱼。”,香,打窝效果增加50%,120秒,12,花蜜饵,稀有,素食,3~6,2~5,0.8,鱼漂先轻轻点水两次，随后围绕原位移动一个小圆。真咬时鱼漂沿着圆弧缓慢沉入水中,水面出现层层展开、形状柔和的环形波纹，几乎没有明显水花,花瓣鱼游动轻盈，搏斗时喜欢绕着鱼钩转圈或沿小型螺旋路线移动。发力较轻但换向流畅，体力下降后会放慢转圈速度并逐渐靠近水面,水面形成相互重叠的环形波纹。转圈时波纹像花瓣一样向外展开，向外游动时只留下短而柔和的尾流,Fish_Petal
风铃鱼,鳞片互相碰撞时会发出轻微声音。,增长经验，加变声器。吃了增加一定黄色体力（一次性）,河流，森林湖。,0.05~0.4,4.5,89,“它们不会唱歌，只是把森林的声音带在了身上。”,香,增加额外黄色体力（一次性），短时间变音效果,120秒,12,花蜜饵,稀有,杂食,3~6,2~5,0.8,鱼漂以固定节奏轻轻颤动，每次颤动之间都有短暂停顿。真咬时鱼漂快速震动一次，然后垂直下沉,每次颤动都会产生一圈小波纹，同时伴随细小、清脆的鳞片碰撞声,风铃鱼搏斗时的发力和休息节奏非常规律。它会向一个方向游动一段时间，停下休息，再转向另一个方向。转向前身体会快速抖动，鳞片发出轻响,水面产生间距较均匀的连续波纹。发力时形成短尾流，转向时产生一个小水花，并伴随清脆声音,Fish_Windbell
咸鱼," 喵发现：
 虽然不能吃，
 但是：
 “拿来吓唬朋友很好用。”",不可食用。投掷效果：猫咪被打一个趔趄后退几步原地炸毛；远距离命中玩家被轻微击退、翻滚一下，掉落当前手上的小物品。,河流，森林湖。,0.5~1.2,7.5,53,“咦，好硬呀，这到底算是食材还是石材呢。。。”,腥,不可食用，无 buff,,0,肉块饵,稀有,特殊，行为按杂食模板,3~6,2~5,0.8,鱼漂先缓慢歪倒在水面，像失去浮力一样横躺片刻。真咬时鱼漂才慢慢沉下，动作显得迟缓,水面只出现一圈缓慢扩散的宽波纹，几乎没有水花,咸鱼大部分时间游动缓慢，发力一小段后便停止。受到持续拉扯时会突然强烈挣扎一次，快速甩动身体，然后再次变得迟缓,休息时水面基本平静。突然挣扎时会在鱼所在位置集中爆开一片水花，随后波纹迅速减弱,Fish_Salted
臭臭鱼,身体会产生特殊气味，喵不喜欢。,多人互动：投掷后：附近玩家暂时无法靠近猫咪出现嫌弃表情触发捂鼻动作不会造成惩罚。,河流 森林湖。,0.2~0.4,9,250,“臭臭鱼总爱藏匿在水底淤泥之中，浑然不觉自身独特的气味四处漫开，让自己根本无处躲藏。”,酵,食用后获得请勿靠近，无法被恶作剧选中，无法获得帮助和交互,90秒,3,果实饵,少见,杂食,3~6,2~5,0.8,鱼漂开始时只有很轻的抖动，看起来像小鱼试探。真咬时鱼漂突然被重重压入水中,水面冒出连续气泡，鱼漂周围的水略微浑浊，波纹范围不大,臭臭鱼体型不大，但力量和体力较强。它会贴近水底持续发力，移动速度不快，却很难被拉近。受到较大拉力时会突然横向窜动，随后重新下潜,水面持续出现沿鱼移动方向排列的气泡。下潜时形成浑浊圆斑，横向发力时气泡轨迹突然弯曲，并产生短促水花,Fish_Stinky
黑鱼,黑黑的鱼，力气大大的,增长大量经验，增加一定黄色体力（一次性）,河流,3~8,11.5,18,凶残的掠食鱼，也许不那么好钓，但收益绝对大,腥,增加黄色体力 +20（一次性护盾；2026-08-21 裁定，原「瞬回50%+临时上限」废，见吃鱼效果页）,,15,肉块饵,珍稀,食肉,3~6,2~5,1,黑鱼几乎不进行试探，鱼漂突然向斜前方飞窜，紧接着完全没入水中,水面瞬间炸开，水下黑色鱼影高速掠过，产生尖锐的单方向尾流,黑鱼会进行直接而猛烈的冲刺。它常先向外直游，再突然横切或下潜。休息时间较短，身体刚放松便可能再次甩尾冲刺。接近岸边时仍会突然反向逃跑,冲刺时形成尖锐、快速的 V 字尾流。掉头时新旧尾流明显交叉，并在转向位置爆开较大水花；下潜时出现气泡和深色鱼影,Fish_Blackfish
泥鳅,身体细长、表面滑溜，喜欢钻进河底泥沙里。受惊时会迅速扭动逃走。,增长经验，猫咪食用后可能获得“满嘴泥巴”搞笑状态,河流,0.05~0.5,3.5,55,“它们总喜欢钻进泥巴里，只露出一点点脑袋观察路过的小猫。”,酵,满嘴泥巴（搞笑状态，演出族）——2026-08-21 裁定：移速收敛两档 +15%/+25%，泥鳅原 +20% 档撤销,90秒,8,虫虫饵,普通,杂食,3~6,2~5,0.8,鱼漂出现高频、小幅度的左右抖动，移动轨迹像细小锯齿。真咬时鱼漂以 S 形斜着沉入水中,水面出现细密气泡，鱼漂周围逐渐泛起少量泥沙和浑浊,泥鳅会贴近水底快速扭动，连续进行小幅换向。它经常突然钻向泥底，再从另一侧窜出。发力时间短，但动作密集，很难判断下一次方向,水面留下细长的蛇形波纹。钻入泥底时出现移动的浑浊区域和一串气泡，从另一侧窜出时产生小型集中水花,Fish_Loach
河口鲈,身体呈灰绿色，背鳍明显，喜欢守在水流交汇处伏击小鱼。,增长较多经验。食用后短时间增加体力恢复速度.,河流,1~5 ,9,27,“喜欢藏在水流变化的位置，等待经过的小鱼。很多小猫第一次挑战大鱼，就是从它开始。”,腥,无（2026-08-21 裁定：原「体力恢复速度」buff 砍除——被搏斗外 5 点/秒基线压到无感知价值；属主可再配演出族效果）,无,12,虫虫饵,稀有,食肉,3~6,2~5,1,鱼漂长时间保持平静，随后突然向水流的一侧猛窜。真咬时鱼漂斜着没入水中,水面一侧爆出短促水花，并立即形成斜向尾流,河口鲈善于利用水流。搏斗时会持续斜向横切，让鱼线与岸边形成较大角度。游近岸边后，它可能顺着另一股水流突然反向冲刺。休息时会停在水流变化的位置,鱼的尾流与原有水流纹叠加，形成明显的斜向波纹。反向冲刺时，旧尾流会被新的水花切断，并形成第二条相反方向的尾流,Fish_EstuaryBass
河豚,受到惊吓时身体会鼓成圆球，身上的斑点也会更加明显。,食用后晕倒。,河流、森林湖。,0.3~1.5,5,61,“它鼓起肚子并不是为了吓唬谁，只是希望路过的小猫离它远一点。”,腥,晕倒苏醒后力量减50%,120秒,12,果实饵,稀有,杂食,3~6,2~5,0.8,鱼漂先被轻轻啄动数次，每次只下沉一点。真咬时鱼漂缓慢压低，最终完全没入水中,水面出现间隔均匀的小圆波，并从鱼漂下方冒出几个较大的气泡,河豚刚上钩时会短促乱窜。受到惊吓后身体逐渐鼓起，游动速度下降，但身体阻力增大，猫更难将它拉近。休息时河豚会缓慢放气，再次恢复一定速度,鼓起前会产生零碎小水花。身体鼓起后，水面形成短而宽的推水波纹；放气时出现连续气泡和缓慢扩散的圆波,Fish_Puffer
电鳗,身体细长，游动时会泛起微弱电光，钓起后仍会不断扭动。,食用后浑身酥麻，短时间影响钓鱼时的体力恢复。,河流、森林湖。,1~4,10,34,“水面偶尔闪过的细小亮光，也许不是月光，而是它正从河底经过。”,腥,钓鱼时体力不再自然恢复,90秒,12,果实饵,稀有,食肉,3~6,2~5,1,鱼漂先连续高频颤动，随后向一侧斜沉。完全下沉前，漂尖会突然快速抖动一次,水下沿鱼影出现细小亮光，水面产生密集细波，并出现一次快速扩散的亮色波纹,电鳗以平滑的 S 形路线游动，发力时身体连续摆动。电流增强时身体突然绷直，短时间加速横切或下潜。进入休息后电光减弱，身体恢复缓慢摆动,水面留下细长的蛇形尾流。电流增强时，鱼影周围出现快速扩散的细波和短暂水下亮光；下潜时亮光和气泡一起变深,Fish_ElectricEel
狗鱼,嘴尖牙利，性情凶猛，会埋伏在水草边突然冲向猎物。,食用后中毒。,河流、森林湖。,2~8,12,22,“它总把自己藏在安静的水草后面，等到猎物靠近时才显露真正的速度。”,腥,体力上限减少40%,120秒,15,肉块饵,珍稀,食肉,3~6,2~5,1,狗鱼不会长时间试探。鱼漂突然横向飞出一段距离，随后被迅速拖入水中,水面像被尖锐物体切开，爆出狭长水花，并形成很窄的高速尾流,狗鱼擅长伏击和爆发冲刺。它会先进行长距离直线外游，冲刺结束后短暂停顿，再突然大角度掉头。接近岸边时可能再次向猫的侧面猛冲,直线冲刺时形成极长、极窄的 V 字尾流。急转位置爆出强烈水花，新旧尾流形成明显折角；接近岸边冲刺时会把浅水向两侧推开,Fish_Pike
