按键,所在界面,当前作用
鼠标左键,湖边、抛竿界面,抛竿
鼠标左键,鱼儿咬钩,提竿
按住鼠标左键,遛鱼状态,收线
鼠标左键,查看鱼护,从鱼护取鱼
鼠标左键,鱼缸旁,从鱼缸取鱼
按住鼠标右键,遛鱼状态,放线
B,游戏主界面及钓鱼界面,打开背包
E,放置鱼竿,确认位置、放置鱼竿
E,靠近鱼护,查看鱼护
长按 E,嘴里叼着鱼,吃掉鱼
E,靠近营地鱼缸,将鱼护中的鱼放入鱼缸
E,鱼缸交互完成后,将取出的鱼放入鱼护
E,商人对话,确认选择
F,鱼落地,拾取鱼
F,嘴里叼着鱼,放下鱼
F,靠近鱼护,叼起鱼护
F,携带鱼护,放下鱼护
F,圣猫祭坛,献祭
Space,遛鱼状态,抄鱼
Space,新鱼种解锁,继续、关闭解锁界面
T,湖边鱼窝,查询当前鱼窝
T,鱼图鉴,追踪鱼类
Enter,选择存档,载入游戏
Enter,退出游戏弹窗,确认退出
Enter,设置页面,应用设置
Enter,鱼缸放鱼选择,全部放入、确认当前选择
Esc,游戏中,打开或关闭派对菜单
Esc,选择存档,返回主菜单
Esc,退出游戏弹窗,取消退出
Esc,设置页面,返回上一页或派对菜单
Esc,鱼缸放鱼界面,取消
Esc,商人对话,离开对话
N,选择存档,新建存档
R,所有设置页面,恢复默认设置
Tab,鱼缸放鱼选择,进入“选择放入”
Shift + Tab,Steam房间、组队管理,打开Steam界面
