[row=1] 道具,作用,如何获得,裁决备注（2026-08-19）,类别（四类框架 08-19）
[row=2] 鱼竿,钓鱼的,商店购买,1级保底竿营地免费自取不限量；强度/耐久快照出处＝参数页,功能装备
[row=3] 鱼漂,观察鱼是否上钩,商店购买, ,功能装备
[row=4] 鱼饵,鱼的食物,商店购买,另可从草地概率获得（装备册口径）,循环消耗
[row=5] 鱼窝,吸引不同的鱼,商店购买,  ,循环消耗
[row=6] 抄网,抄起水中的鱼,商店购买,非必带；抄取必中；唯一属性＝可抄体型上限；全商店购买（08-19 拍定）,功能装备
[row=7] 鱼护（鱼篓）,随身渔获容器：抄起/拾起的鱼从嘴里转入鱼护，回营倒入大鱼缸；非必带（不带则鱼一直叼嘴里）,商店购买,口径改随身渔获容器（见作用列），不引入鱼缺水死亡机制（08-19 拍定）,功能装备
[row=8] 小鱼干,即时恢复猫体力（一次性）,商店购买,仅搏斗外可用、即时回满；搏斗内零道具操作（总闸门）,增效消耗
[row=9] 应急线组,鱼竿耐久清空时，消耗此道具维护鱼竿不断裂（主动)，时间持续30s，一个鱼竿只能用一次,商店购买,已砍（08-19 裁决：保险类不设，断竿就是断竿）,—（已砍）
[row=10] 护手套,按比例减少猫的体力消耗(一次性）,商店购买,改为备装穿戴、下一场生效、一场耗尽、同类不叠；命名待改（猫无手）,增效消耗
[row=11] 幸运四叶草,下一竿有概率出稀有鱼（一次性）,钓鱼时的意外收获,维持意外收获、不进商店；只改权重、无保底必出,增效消耗
[row=12] 水枪,向队友猫猫喷水，可以从河里装水，水容量有上限,商城购买,零数值纯演出；命名待世界观过审；归 W3 恶作剧批次,社交演出
[row=13] 恶作剧假鱼,放入队友鱼护中，下次他打开鱼护时，会被假鱼弹一脸水（一次性）,钓鱼时的意外收获,零数值；塞他人鱼护的交互规则归 W3 恶作剧批次,社交演出
[row=14] 大喇叭,点击喇叭可全队播报自己想说的话（三次）,钓鱼时的意外收获,零数值；三次限额防刷屏；命名待世界观过审,社交演出
[row=15] 渔网,一次性撒网，捕捉当前钓点的大部分鱼，且使用后该钓点30s内无鱼,商店购买,高价值一次性拍定：按钓点概率构成 roll 5~8 条、稀有不加权、湖中巨影永不入网、随身1张/每局限购1~2、定价≥期望渔获市价×1.2、30s死水全钓点共享,循环消耗（极端定价特例）
