fish_id,名字,偏好饵,虫虫饵,肉块饵,果实饵,花蜜饵,月光饵,说明
Fish_RiverPattern,河纹鱼,虫虫饵,3,1,1,1,1,占位：目标饵 3、其余 1
Fish_LittleSilver,小银鱼,虫虫饵,3,1,1,1,1,占位：目标饵 3、其余 1
Fish_LittleColor,小彩鱼,果实饵,1,1,3,1,1,占位：目标饵 3、其余 1
Fish_ForestLongtail,森林长尾鱼,花蜜饵,1,1,1,3,1,占位：目标饵 3、其余 1
Fish_SilvermoonTrout,银月鳟,月光饵,1,1,1,1,3,占位：目标饵 3、其余 1
Fish_LakeGiantShadow,湖心巨影,肉块饵,1,3,1,1,1,占位：目标饵 3、其余 1
Fish_Petal,花瓣鱼,花蜜饵,1,1,1,3,1,占位：目标饵 3、其余 1
Fish_Windbell,风铃鱼,花蜜饵,1,1,1,3,1,占位：目标饵 3、其余 1
Fish_Salted,咸鱼,肉块饵,1,3,1,1,1,占位：目标饵 3、其余 1
Fish_Stinky,臭臭鱼,果实饵,1,1,3,1,1,占位：目标饵 3、其余 1
Fish_Blackfish,黑鱼,肉块饵,1,3,1,1,1,占位：目标饵 3、其余 1
Fish_Loach,泥鳅,虫虫饵,3,1,1,1,1,占位：目标饵 3、其余 1
Fish_EstuaryBass,河口鲈,虫虫饵,3,1,1,1,1,占位：目标饵 3、其余 1
Fish_Puffer,河豚,果实饵,1,1,3,1,1,占位：目标饵 3、其余 1
Fish_ElectricEel,电鳗,果实饵,1,1,3,1,1,占位：目标饵 3、其余 1
Fish_Pike,狗鱼,肉块饵,1,3,1,1,1,占位：目标饵 3、其余 1
,（说明）,,,,,,,抽鱼两步：先按窝里腥／香／酵占比定类别，再在该类里按玩家挂的饵用本表加权选鱼种；目标饵权重高、非目标饵低但不为零（鱼册 §3.1.4）。2026-09-10 Claude 建表填占位，张佳定正式值
