道具,作用,价格,如何获得,裁决备注（2026-08-19）,类别（四类）,状态,item_id（程序主键，改显示名不动它）
鱼竿,钓鱼的,0/100/150（三种鱼竿不同价格）,见鱼竿页内表（树枝竿免费自取／玩具竿／逗猫棒竿公款购买）,1级保底竿营地免费自取不限量；强度/耐久/L_max 快照出处＝参数页；竿名已猫化,功能装备,现行,gear_rod
鱼漂,观察鱼是否上钩,0/10/15（三种鱼漂不同价格）,羽毛漂营地免费自取；毛线球漂／铃铛漂公款购买,3 种种类制；羽毛漂为保底三件之一（08-19 拍定）,功能装备,现行,gear_float
鱼饵,鱼的食物；决定属性命中后上钩哪一条（偏好权重在鱼表格）,/（见鱼饵表）,部分普通饵营地免费自取；其他饵公款购买每日限量；草地概率捡到,保底三件之一（08-19 拍定）；消耗口径见钓鱼规则 3.4,循环消耗,现行,cons_bait
窝料,吸引不同属性的鱼群（腥/香/酵）,/（见窝料表）,商店购买,,循环消耗,现行,cons_groundbait
抄网,抄起钩上或翻肚的鱼（自由鱼不可捞）；离岸<1米必中；无属性数值；巨影不可抄,20,商店购买,非必带；抄取必中；无网路径＝翻肚拖岸拾取,功能装备,现行,gear_net
鱼护,随身渔获容器，两态：背包里是道具（占一格）；使用即在脚下放下鱼护容器，按 F 拾起变回道具、鱼随护走；放下的鱼护全队可开可拾。抄起/拾起的鱼从嘴里转入鱼护，回营倒入大鱼缸；非必带（不带则叼嘴，叼鱼态见道具册 §3.1.1）,5,商店购买,口径改随身渔获容器，不引入鱼缺水死亡机制（08-19 拍定）；别名「鱼篓」废弃，术语总表只认「鱼护」；鱼护最多可以装 6 条鱼；09-09 李前臻裁：道具＋地面容器两态、全队可开可拾、占背包一格（道具册 v1.35）,功能装备,现行,gear_keepnet
小鱼干,搏斗外使用，瞬间回满猫体力（搏斗外自然回复 5 点/秒已拍，见猫册「数值成长」页；价值＝连续硬仗间省约 20 秒，定价与携带上限按此定）,10,商店购买,仅搏斗外可用（总闸门）；与饵名「小鱼干碎」区分（08-19）；效果依赖的回复规则 08-20 已拍（5 点/秒），可细化定价,增效消耗,现行·待数值,buff_driedfish
爪爪套,备装时穿戴，下一场搏斗内按比例减少猫体力消耗，一场耗尽，同类不叠,5,商店购买,作用列已按 08-19 裁决改写（预穿戴被动效果，不算搏斗内主动操作）,增效消耗,现行·待数值,buff_gloves
幸运四叶草,下一竿有概率出稀有鱼（只改权重、无保底必出；稀有度字段挂号鱼表格）,/,钓鱼时的意外收获（不进商店）,维持意外收获；金币不直通稀有概率只约束本类增效道具（08-19）,增效消耗,现行·待数值,buff_clover
湿毛器,向队友猫猫喷水，可以从河里装水，水容量有上限,5,商店购买,零数值纯演出；归 W3 恶作剧批次,社交演出,W3,social_watergun
恶作剧假鱼,放入队友鱼护中，下次他打开鱼护时被假鱼弹一脸水（一次性）；目标无鱼护时兜底规则 W3 定,/,钓鱼时的意外收获,零数值；交互规则归 W3 恶作剧批次,社交演出,W3,social_fakefish
响响筒,点击响响筒可全队播报自己想说的话（三次）,/,钓鱼时的意外收获,零数值；三次限额防刷屏,社交演出,W3,social_megaphone
渔网/捞捞网 ,一次性撒网：按落点窝点概率构成 roll 5~8 条，稀有不加权、湖心巨影不入网；该窝点 30s 死水,500,商店购买,高价值一次性拍定；定价≥期望渔获市价×1.2；细则见道具册 §3.3，渔网一次捕鱼5到8条随机,循环消耗,现行·待数值,cons_castnet
