UI位置/场景,UI内容,出现条件,交互方式,备注,,,,,,
左上角,第N天,游戏过程中常驻显示,点击进入主页菜单,显示当前游戏天数,,,,,,
ESC菜单,第N天,打开菜单,玩家按ESC,包含设置、音频、操作等基础功能,,,,,,
左上角,猫爪印图标,游戏过程中常驻显示,点击打开鱼图鉴,猫爪印作为图鉴入口，符合猫世界观,,,,,,
左下角,背包图标,游戏过程中常驻显示,点击打开背包,设计为猫咪旅行包，不显示复杂数值,,,,,,
左下角背包,背包页面,游戏过程中常驻显示,按B,背包页面简约快捷,,,,,, 
屏幕右下角,提竿提示,鱼漂明显下沉，进入提竿判定阶段,「鱼儿咬钩啦！」左键提竿,提醒玩家进行操作,,,,,,
提竿提示下方,提竿倒计时,咬钩后短时间内,环形进度/缩短提示,提醒玩家及时操作，错过可能导致鱼逃脱,,,,,,
屏幕幕右下角短暂出现,提竿成功反馈,成功中鱼,玩家成功点左键,进入遛鱼阶段,,,,,,
钓鱼状态,鱼漂反馈,玩家进入钓鱼流程,自动显示,核心反馈，不需要大量HUD,,,,,,
遛鱼状态,玩家体力,进入遛鱼阶段,自动显示,仅钓鱼过程中存在,,,,,,
遛鱼状态,鱼状态,进入遛鱼阶段,自动显示,显示鱼挣扎、疲劳等状态,,,,,,
商人,商店,游戏过程中常驻显示,靠近商人交互,商品页面,,,,,,
钓点附近,鱼展示,首次解锁新品种,自动显示,鱼种介绍特写展示,,,,,,
营地,装备与仓库,回营地打开装备,交互键打开,出行装备、仓库浏览,,,,,,
左上角图鉴,图鉴页面,打开图鉴,按M键,鱼种解锁、剪影鱼种,,,,,,
竿旁／屏幕下方,竿耐久,手持鱼竿时,自动显示,三档竿 40／70／120，归零即断竿（钓鱼规则 §4；数值见参数页）,,,,,,
左上角,当日任务点数与缸内可献点数,白天常驻,自动显示,世界进度平时隐藏，靠近神像或打开界面时显示（局与进程册 §7，09-09 裁）,,,,,,
上方,白天倒计时,白天,自动显示,入夜边界见局与进程册；窝点鱼量不进 HUD，走世界内的窝点标记浓／中／淡三档（钓鱼规则 7.2）,,,,,,
屏幕中央弹窗,三选一弹窗,升级时,选一项,每项带描述、按出现次序刷出（猫册「升级效果」）；卡面样式待定,,,,,,
准星,准星态,有合法目标够着时,自动显示,F 的目标按视角中心选；多个合法目标同时够着时提示当前对谁出手；可抄看抄手朝向射线碰可捞圆，不再是离岸 1 米的圈（目标：鱼、落岸鱼、搏斗中的主钓手）,,,,,,
屏幕中央,放弃进度条,搏斗中长按收竿键,长按 1.5 秒，松手取消,钓鱼规则 §5；样式待定,,,,,,
遛鱼状态,换人濒死强提示,主钓手体力低于 5%,自动显示,样式待定（张佳）,,,,,,
